지점	카테고리	조닝	브랜드	매장유형	평수	25년 3월 매출	25년 4월 매출	평매출	25년 5월 매출	평매출	25년 6월 매출	평매출	26년 3월 매출	3월 성장률	26년 4월 매출	4월 성장률
고잔점	여성의류(특정)NC	여성커리어	케이엘	정상	11.8	25,378,050	30,034,800	84844	37,339,200	105478	21,611,000	61048	35,552,000	40.1%	40,047,800	33.3%
고잔점	여성의류(특정)NC	여성커리어	보니스팍스	정상	11.6	27,601,800	35,566,600	102203	36,575,400	105102	25,667,108	73756	32,917,500	19.3%	35,434,200	-0.4%
고잔점	스포츠(특정)NC	스포츠	나이키(NIKE)	#N/A	#N/A			-		-		-		-		-
고잔점	스포츠(특정)NC	스포츠	아디다스(ADIDAS)	정상	27.8	68,339,800	60,424,500	72465	60,818,000	72937	36,306,920	43542	110,443,300	61.6%	101,590,000	68.1%
고잔점	스포츠(특정)NC	아웃도어	웨스트우드	정상	12.7	9,164,600	18,593,700	48948	21,307,208	56091	19,662,360	51761		-100.0%		-100.0%
고잔점	스포츠(특정)NC	스포츠	푸마(PUMA)	정상	22.4	19,978,685	25,262,280	37527	32,372,225	48088	17,471,220	25953	32,031,900	60.3%	33,891,920	34.2%
고잔점	스포츠(특정)NC	스포츠	프로스펙스	정상	15.0	19,671,300	14,556,300	32444	13,990,800	31183	14,666,900	32690		-100.0%		-100.0%
고잔점	스포츠(특정)NC	아웃도어	콜핑(KOLPING)	정상	12.9	32,226,780	28,757,240	74529	31,015,000	80381	28,004,000	72577		-100.0%		-100.0%
고잔점	스포츠(특정)NC	스포츠	뉴발란스	상설	26.2	90,304,800	59,070,500	75155	80,608,820	102558	60,601,480	77103	138,214,760	53.1%	137,078,150	132.1%
고잔점	스포츠(특정)NC	아웃도어	컬럼비아	정상	13.9	21,610,860	19,266,300	46252	26,078,200	62605	15,234,500	36573	23,977,900	11.0%	32,912,300	70.8%
고잔점	스포츠(특정)NC	아웃도어	노스페이스(THENORTHFACE)	정상	36.7	100,388,480	88,430,900	80359	101,432,590	92174	72,533,850	65913	108,661,880	8.2%	125,023,020	41.4%
고잔점	스포츠(특정)NC	스포츠	크록스(CROCS)	정상	11.3	48,260,100	58,215,100	171726	101,081,500	298176	66,542,700	196291	44,694,000	-7.4%	66,451,800	14.1%
고잔점	스포츠(특정)NC	스포츠	언더아머	#N/A	#N/A	17,914,800	2,610,800	-	28,943,300	-	-19,000	-		-100.0%		-100.0%
고잔점	스포츠(특정)NC	골프	루이까스텔	상설	20.0	89,369,500	90,755,300	151259	0	0		0		-100.0%		-100.0%
고잔점	스포츠(특정)NC	아웃도어	스노우피크	#N/A	31.2			0		0		0	46,513,600	-	62,761,900	-
고잔점	스포츠(특정)NC	스포츠	레노마수영복	정상	8.6	25,862,800	16,100,600	62300	26,718,650	103386	28,098,200	108724	21,544,200	-16.7%	15,794,000	-1.9%
고잔점	스포츠(특정)NC	스포츠	휠라(FILA)	정상	26.0	46,818,800	39,973,140	51274	44,892,920	57585	32,300,000	41432	63,431,050	35.5%	51,189,500	28.1%
고잔점	스포츠(특정)NC	스포츠	스케쳐스	정상	15.4	110,773,350	66,011,000	142425	62,827,600	135557	88,610,700	191186	103,372,060	-6.7%	122,685,000	85.9%
고잔점	스포츠(특정)NC	아웃도어	밀레(MILLET)	정상	22.7	20,727,450	24,576,690	36038	21,641,670	31734	16,609,580	24355		-100.0%		-100.0%
고잔점	스포츠(특정)NC	아웃도어	아이더(EIDER)	#N/A	31.2			0		0		0	40,384,600	-	67,475,600	-
고잔점	스포츠(특정)NC	아웃도어	디스커버리	#N/A	#N/A		108,685,950	-	107,122,700	-		-		-	130,374,800	20.0%
일산점	캐쥬얼(특정매입)	진	리바이스	정상	14.8	12,428,400	20,064,400	45190	20,269,800	45653	10,019,200	22566	13,292,300	7.0%	10,562,000	-47.4%
일산점	캐쥬얼(특정매입)	이지	후아유	정상	22.5	40,749,890	24,493,330	36286	45,293,840	67102	24,186,410	35832	23,628,730	-42.0%	26,371,660	7.7%
일산점	캐쥬얼(특정매입)	이지	폴햄	정상	18.7	116,483,800	109,927,630	195949	135,606,150	241722	82,281,200	146669	97,521,100	-16.3%	98,445,816	-10.4%
일산점	캐쥬얼(특정매입)	이지	지오다노	정상	25.6	54,808,780	51,184,650	66647	53,404,300	69537	51,797,900	67445	48,259,004	-12.0%	38,813,580	-24.2%
일산점	캐쥬얼(특정매입)	이지	마인드브릿지	정상	22.1	57,837,770	64,103,920	96688	61,998,220	93512	50,298,510	75865	45,775,770	-20.9%	60,380,700	-5.8%
일산점	캐쥬얼(특정매입)	이지	프로젝트M	정상	21.9	65,779,100	84,367,050	128413	83,061,150	126425	63,409,600	96514	64,821,600	-1.5%	100,326,300	18.9%
일산점	캐쥬얼(특정매입)	스트릿	JEEP	정상	12.0	72,179,560	30,582,780	84952	50,243,490	139565	35,771,410	99365	68,855,980	-4.6%	57,419,850	87.8%
일산점	캐쥬얼(특정매입)	스트릿	NBA	상설	10.6	35,034,000	29,257,200	92004	31,072,700	97713	23,904,100	75170	37,269,220	6.4%	36,768,140	25.7%
일산점	캐쥬얼(특정매입)	스트릿	더블에이트	정상	10.9	50,634,300	38,216,900	116871	40,005,700	122342	31,176,100	95340	36,297,200	-28.3%	22,565,360	-41.0%
일산점	캐쥬얼(특정매입)	진	게스(GUESS)(진)	상설	22.3	70,962,908	65,747,200	98277	75,922,500	113487	68,673,300	102651	117,237,800	65.2%	84,640,800	28.7%
일산점	캐쥬얼(특정매입)	진	버커루	복합	16.3	19,276,892	19,897,300	40690	30,289,800	61942	18,150,700	37118	29,219,600	51.6%	31,114,580	56.4%
일산점	캐쥬얼(특정매입)	스트릿	그루브라임플레이	정상	20.3	17,449,350	15,866,900	26054	26,234,800	43078	18,980,200	31166	21,689,990	24.3%	34,119,700	115.0%
일산점	캐쥬얼(특정매입)	이지	위라이크	정상	11.0	44,893,600	33,843,200	102503	38,057,200	115266	26,118,400	79106	27,751,000	-38.2%	20,438,800	-39.6%
일산점	캐쥬얼(특정매입)	스트릿	알래스카	정상	11.4	20,451,060	27,900,870	81581	30,073,420	87934	27,135,730	79344	31,084,910	52.0%	34,908,400	25.1%
일산점	잡화(특정매입)	제화	무크(MOOK)	정상	7.9	15,419,020	17,698,000	74561	19,001,400	80052	-135,000	-569		-100.0%		-100.0%
일산점	잡화(특정매입)	제화	미소페(MISOPE)	정상	12.9	44,726,120	38,546,800	99604	25,529,200	65967	39,267,001	101465	34,471,400	-22.9%	36,126,000	-6.3%
일산점	잡화(특정매입)	제화	에스콰이아(ESQUIRE)	정상	6.0	38,083,600	38,809,200	215607	44,045,280	244696	50,017,640	277876	52,171,080	37.0%	55,307,020	42.5%
일산점	잡화(특정매입)	제화	엘칸토(ELCANTO )	정상	10.7	53,784,200	51,866,100	161577	47,147,500	146877	36,711,300	114365	37,252,600	-30.7%	74,012,000	42.7%
일산점	잡화(특정매입)	제화	허쉬파피(HUSHPUPPIES)	정상	8.5	43,746,100	21,799,200	85745	35,968,050	141476	35,210,800	138498		-100.0%		-100.0%
일산점	잡화(특정매입)	핸드백/피혁	닥스(핸드백)	상설	23.2	37,130,770	30,792,910	44243	32,479,960	46667	20,251,400	29097	35,258,760	-5.0%	36,239,100	17.7%
일산점	잡화(특정매입)	핸드백/피혁	아메리칸투어리스트	정상	13.1	21,206,200	24,502,500	62347	20,271,800	51582	22,750,600	57890	23,162,600	9.2%	21,594,200	-11.9%
일산점	잡화(특정매입)	제화	소다	정상	11.9	26,010,400	24,335,200	68166	32,902,000	92162	32,667,000	91504	34,398,000	32.2%	34,238,600	40.7%
일산점	잡화(특정매입)	제화	미셸BY탠디	정상	13.9	79,642,800	80,546,400	193157	76,686,000	183899	68,451,600	164153	81,062,600	1.8%	99,907,000	24.0%
일산점	영캐쥬얼(특정)2001	베이직	로엠(ROEM)	정상	11.6	27,006,080	25,132,210	72219	30,592,780	87910	25,116,730	72175	36,569,140	35.4%	28,736,760	14.3%
일산점	영캐쥬얼(특정)2001	베이직	에이비에프지(ABFZ)	정상	10.5	29,768,600	29,392,300	93309	34,972,100	111023	32,236,500	102338	46,058,600	54.7%	44,661,700	52.0%
일산점	영캐쥬얼(특정)2001	캐릭터	온앤온(ON n ON)	정상	13.4	34,527,540	27,254,900	67798	21,000,600	52240	25,044,400	62300	31,942,770	-7.5%	17,744,920	-34.9%
일산점	영캐쥬얼(특정)2001	캐릭터	올리브데올리브(OLIVE DES OL	정상	10.8	27,362,160	32,031,880	98864	30,885,150	95325	16,099,778	49691	32,053,620	17.1%	29,649,780	-7.4%
일산점	영캐쥬얼(특정)2001	베이직	클라비스(CLOVIS)	정상	10.8	47,698,350	57,422,430	177230	48,004,140	148161	43,016,140	132766	51,090,880	7.1%	53,015,260	-7.7%
일산점	영캐쥬얼(특정)2001	스트릿	보브(VOV)	상설	17.7	61,446,778	27,167,400	51163	26,129,950	49209	100,123,500	188556	39,164,040	-36.3%	33,631,006	23.8%
일산점	영캐쥬얼(특정)2001	베이직	미쏘	정상	60.0	65,069,732	84,160,962	46756	96,496,850	53609	124,801,530	69334	87,440,000	34.4%	97,422,130	15.8%
일산점	영캐쥬얼(특정)2001	베이직	리스트	정상	9.4	35,248,900	31,922,600	113201	33,816,600	119917	26,033,200	92316	32,883,700	-6.7%	28,004,000	-12.3%
일산점	영캐쥬얼(특정)2001	스트릿	밸리걸	정상	9.0	32,359,400	37,859,500	140220	44,281,100	164004	44,457,200	164656	45,432,000	40.4%	55,065,100	45.4%
일산점	영캐쥬얼(특정)2001	스트릿	베네통(영캐주얼)	상설	21.0	42,781,400	56,260,810	89303	30,586,100	48549	23,856,760	37868	46,731,800	9.2%	54,077,900	-3.9%
일산점	영캐쥬얼(특정)2001	베이직	비지트인뉴욕	정상	11.6	15,039,170	17,007,410	48872	19,083,140	54837	10,017,600	28786	30,169,120	100.6%	17,023,560	0.1%
일산점	영캐쥬얼(특정)2001	캐릭터	숲(SOUP)	정상	9.0	27,805,880	23,570,523	87298	40,350,100	149445	31,857,900	117992	22,589,420	-18.8%	20,626,610	-12.5%
일산점	영캐쥬얼(특정)2001	스트릿	시슬리(영캐주얼)	상설	22.3	30,129,660	30,567,360	45691	32,205,660	48140	25,092,160	37507	24,465,380	-18.8%	30,195,020	-1.2%
일산점	영캐쥬얼(특정)2001	캐릭터	씨씨콜렉트	상설	13.5	34,284,340	39,116,300	96583	31,163,830	76948	33,277,330	82166	42,502,080	24.0%	28,637,030	-26.8%
일산점	영캐쥬얼(특정)2001	스트릿	오픈클로젯	#N/A	9.5			0		0		0	28,620,600	-	39,572,100	-
일산점	영캐쥬얼(특정)2001	캐릭터	주크	상설	14.3	27,727,280	32,133,870	74904	20,137,040	46939	17,303,020	40333	31,109,850	12.2%	32,975,650	2.6%
일산점	영캐쥬얼(특정)2001	베이직	플라스틱아일랜드	정상	9.2	30,852,150	31,055,570	112520	35,836,090	129841	32,383,460	117331	30,844,100	0.0%	42,156,830	35.7%
일산점	영캐쥬얼(특정)2001	스트릿	헤이린뉴욕	정상	9.5	39,314,700	44,008,100	154414	43,012,900	150922	42,006,300	147391	40,892,290	4.0%	46,077,100	4.7%
일산점	영캐쥬얼(특정)2001	캐릭터	틸버리	정상	14.0	33,956,700	35,335,400	84132	26,886,400	64015	25,306,600	60254	34,227,770	0.8%	30,001,670	-15.1%
일산점	영캐쥬얼(특정)2001	캐릭터	듀엘	상설	26.1	43,336,240	59,425,300	75894	36,553,990	46685	39,136,930	49983	54,461,520	25.7%	55,501,540	-6.6%
일산점	영캐쥬얼(특정)2001	스트릿	에잇컨셉	정상	9.5	36,718,200	40,144,500	140441	38,478,200	134612	35,368,500	123733	32,930,700	-10.3%	35,522,500	-11.5%
일산점	영캐쥬얼(특정)2001	캐릭터	JJ지고트	정상	11.6	15,318,670	15,214,170	43719	26,894,110	77282	28,454,780	81767	32,291,430	110.8%	34,083,960	124.0%
일산점	영캐쥬얼(특정)2001	캐릭터	라인	정상	11.6	62,546,490	53,885,920	154845	63,824,800	183405	46,434,200	133432	60,000,070	-4.1%	68,607,410	27.3%
일산점	영캐쥬얼(특정)2001	캐릭터	케네스레이디	정상	11.6	32,915,800	45,678,900	131261	29,130,150	83707	25,259,850	72586	44,292,780	34.6%	43,441,500	-4.9%
일산점	영캐쥬얼(특정)2001	캐릭터	잇미샤	정상	13.5	6,224,450	8,003,010	19761	11,514,680	28431	6,188,660	15281	25,745,480	313.6%	21,605,200	170.0%
일산점	남성의류(특정매입)	신사캐쥬얼	인디안(INDIAN)	정상	11.1	14,993,320	29,274,030	87910	40,372,000	121237	26,394,900	79264	32,174,900	114.6%	39,189,100	33.9%
일산점	남성의류(특정매입)	신사캐쥬얼	크로커다일(CROCODILE)	복합	13.1	29,044,600	31,556,800	80297	31,094,700	79121	26,193,600	66650	28,626,000	-1.4%	32,259,001	2.2%
일산점	남성의류(특정매입)	신사정장	파크랜드(PARKLAND)	정상	13.1	35,733,100	38,442,800	97819	41,516,000	105639	39,630,400	100841	34,389,400	-3.8%	47,598,950	23.8%
일산점	남성의류(특정매입)	신사캐쥬얼	파렌하이트	#N/A	15.0	30,042,570	29,062,420	64583	35,512,570	78917	27,657,030	61460	33,022,340	9.9%	40,102,560	38.0%
일산점	남성의류(특정매입)	신사정장	트루젠(TRUGEN)	정상	12.9	14,442,570	13,160,650	33966		0		0		-100.0%		-100.0%
일산점	남성의류(특정매입)	신사정장	로가디스	정상	18.9	55,356,150	45,578,990	80386	76,656,270	135196	46,445,670	81915	53,290,050	-3.7%	61,894,520	35.8%
일산점	남성의류(특정매입)	신사정장	브렌우드	정상	14.4	31,309,060	30,160,220	69815	31,796,390	73603	26,547,460	61452	33,994,300	8.6%	41,799,620	38.6%
일산점	남성의류(특정매입)	신사정장	트레몰로	정상	13.1	21,960,060	26,824,600	68256	25,126,450	63935	21,874,050	55659	18,112,500	-17.5%	15,325,700	-42.9%
일산점	남성의류(특정매입)	신사정장	레노마옴므	#N/A	17.9			0		0		0	32,897,500	-	30,769,800	-
일산점	남성의류(특정매입)	신사TD	올젠	정상	12.1	20,577,800	24,325,100	67011	24,723,540	68109	17,323,840	47724	32,149,540	56.2%	38,397,460	57.9%
일산점	남성의류(특정매입)	신사캐쥬얼	지오지아	정상	15.2	19,737,480	19,860,000	43553	22,790,530	49979	16,693,000	36607	19,886,626	0.8%	20,461,728	3.0%
일산점	남성의류(특정매입)	신사캐쥬얼	피에르가르뎅(신사캐주얼)	복합	13.1	28,197,400	31,640,500	80510	31,481,770	80106	27,804,400	70749	18,673,480	-33.8%	24,640,600	-22.1%
일산점	남성의류(특정매입)	신사캐쥬얼	피에이티(PAT)	복합	9.9	24,332,900	28,848,100	97132	30,401,900	102363	21,348,200	71879	17,903,100	-26.4%	31,357,900	8.7%
일산점	남성의류(특정매입)	신사캐쥬얼	바쏘옴므	정상	15.0	38,601,930	32,330,710	71846	41,071,560	91270	34,530,600	76735	38,584,930	0.0%	34,395,990	6.4%
일산점	남성의류(특정매입)	신사캐쥬얼	에디션	정상	11.1	17,857,520	24,932,740	74873	20,904,180	62775	15,259,220	45823	30,483,540	70.7%	23,765,980	-4.7%
일산점	남성의류(특정매입)	골프	디즈니골프	정상	16.6			0	12,164,200	24426	15,905,600	31939	15,824,400	-	18,880,700	-
일산점	남성의류(특정매입)	골프	레노마골프	#N/A	#N/A			-		-		-		-	8,422,600	-
일산점	남성의류(특정매입)	골프	제이디엑스(JDX)	정상	10.7			0	5,516,200	17184	6,579,600	20497	8,837,140	-	22,434,120	-
일산점	남성의류(특정매입)	골프	팬텀	정상	8.9			0	29,165,000	109232	20,104,280	75297	43,523,690	-	32,617,640	-
일산점	남성의류(특정매입)	골프	루이까스텔	상설	16.0		39,000	81	69,783,500	145382	51,898,600	108122	34,273,100	-	40,043,700	102576.2%
일산점	아동의류(특정매입)	유아	아가방	정상	21.6	35,749,660	42,559,430	65601	48,993,880	75519	34,056,460	52495	40,110,670	12.2%	51,652,820	21.4%
일산점	아동의류(특정매입)	스포츠키즈	휠라키즈	#N/A	13.7			0		0		0	22,416,270	-	16,815,150	-
일산점	아동의류(특정매입)	주니어	에어워크주니어	정상	9.5	23,676,300	23,021,900	81059	25,601,800	90143	12,042,200	42400	27,134,400	14.6%	26,025,400	13.0%
일산점	아동의류(특정매입)	스포츠키즈	뉴발란스키즈	정상	25.5	53,464,100	44,564,730	58255	38,828,370	50756	23,491,380	30708	44,414,120	-16.9%	41,379,195	-7.1%
일산점	아동의류(특정매입)	스포츠키즈	블랙야크키즈	복합	11.2	41,977,340	31,528,000	94161	32,683,200	97611	21,849,300	65255	32,853,200	-21.7%	39,993,600	26.9%
일산점	아동의류(특정매입)	유아	앙팡스(압소바)	정상	12.8	13,942,300	12,039,140	31311		0		0		-100.0%		-100.0%
일산점	아동의류(특정매입)	주니어	폴햄키즈	정상	14.0	37,265,300	54,745,100	130345	38,106,600	90730	23,986,050	57110	38,928,650	4.5%	26,134,900	-52.3%
일산점	아동의류(특정매입)	주니어	탑텐키즈	정상	19.5	39,900,590	40,637,010	69356	27,896,140	47611	24,436,290	41706	31,955,780	-19.9%	27,251,790	-32.9%
일산점	아동의류(특정매입)	스포츠키즈	NBA키즈	정상	7.6	10,263,700		0		0		0		-100.0%		-
일산점	아동의류(특정매입)	주니어	스파오키즈	정상	13.0	36,892,900	22,363,300	57342	34,328,600	88022	13,902,100	35646	22,197,000	-39.8%	24,490,200	9.5%
일산점	아동의류(특정매입)	유아	모이몰른	정상	12.5	37,725,750	60,159,850	160426	45,807,880	122154	25,037,930	66768	29,125,070	-22.8%	34,918,630	-42.0%
일산점	아동의류(특정매입)	주니어	행텐틴즈	정상	13.4	22,474,955	22,738,390	56421	27,151,990	67372	14,811,830	36753	24,293,300	8.1%	31,938,100	40.5%
일산점	여성의류(특정)NC	여성캐릭터	미니멈	상설	12.1	77,910,730	48,884,270	134667	46,199,000	127270	42,626,000	117427	84,079,910	7.9%	51,168,000	4.7%
일산점	여성의류(특정)NC	여성커리어	쉬즈미스	정상	12.1	56,019,200	41,062,900	113121	40,531,100	111656	41,118,800	113275	52,059,000	-7.1%	45,316,900	10.4%
일산점	여성의류(특정)NC	여성커리어	안지크	정상	9.3	30,009,100	33,475,000	119602	37,016,000	132253	23,531,600	84075	34,077,150	13.6%	51,665,100	54.3%
일산점	여성의류(특정)NC	여성커리어	요하넥스	정상	9.0	45,015,400	30,468,600	112847	21,202,500	78528	20,869,900	77296	36,684,400	-18.5%	23,217,000	-23.8%
일산점	여성의류(특정)NC	여성TD	앤클라인	정상	10.7	19,030,035	12,708,596	39591	18,791,132	58539	20,045,672	62448	25,101,078	31.9%	14,039,452	10.5%
일산점	여성의류(특정)NC	마담	올리비아로렌	정상	11.4	36,134,860	40,756,300	119170	32,856,290	96071	28,544,330	83463	46,497,050	28.7%	53,169,720	30.5%
일산점	여성의류(특정)NC	여성커리어	베스띠벨리	정상	11.0	16,805,610	61,509,358	186392	19,941,140	60428	24,043,300	72858	21,000,350	25.0%	17,307,940	-71.9%
일산점	여성의류(특정)NC	여성커리어	더레노마	정상	9.3	27,296,800	27,545,400	98969	32,044,500	115134	17,399,200	62514	33,002,800	20.9%	30,327,200	10.1%
일산점	여성의류(특정)NC	여성캐릭터	모조에스핀	상설	16.6	121,708,620	100,354,420	201515	104,345,420	209529	92,750,020	186245	145,481,900	19.5%	110,270,420	9.9%
일산점	여성의류(특정)NC	여성커리어	발렌시아	정상	12.1	54,737,620	61,979,660	170743	53,127,180	146356	47,468,300	130767	67,554,400	23.4%	68,188,100	10.0%
일산점	여성의류(특정)NC	여성커리어	비꼴리끄	정상	12.0	32,996,600	40,044,200	111234	34,012,900	94480	30,041,700	83449	40,384,360	22.4%	49,385,600	23.3%
일산점	여성의류(특정)NC	여성TD	비씨비지	상설	11.4	62,955,000	55,304,000	161708	55,431,000	162079	48,902,000	142988	60,159,000	-4.4%	57,021,000	3.1%
일산점	여성의류(특정)NC	여성커리어	아르테	정상	12.1	33,031,300	24,136,700	66492	31,499,500	86775	20,036,200	55196	38,880,300	17.7%	20,836,700	-13.7%
일산점	여성의류(특정)NC	여성커리어	캐리스노트	정상	12.9	42,367,440	35,855,600	92650	36,362,000	93959	23,841,600	61606	51,401,300	21.3%	41,448,300	15.6%
일산점	여성의류(특정)NC	여성커리어	제시뉴욕	상설	10.8	23,710,860	41,208,700	127187	25,832,850	79731	25,193,200	77757	30,002,490	26.5%	30,336,730	-26.4%
일산점	여성의류(특정)NC	여성커리어	더아이잗	정상	10.7	37,095,890	35,910,570	111871	31,146,260	97029	28,567,750	88996	41,944,310	13.1%	44,720,810	24.5%
일산점	여성의류(특정)NC	여성커리어	케이엘	정상	10.7	26,526,300	28,319,700	88223	32,919,600	102553	25,710,420	80095	31,653,200	19.3%	31,239,550	10.3%
일산점	여성의류(특정)NC	여성커리어	보니스팍스	정상	12.1	45,029,300	35,857,300	98780	41,604,600	114613	33,035,600	91007	48,730,400	8.2%	41,291,500	15.2%
일산점	스포츠(특정)NC	스포츠	프로스펙스	복합	34.8	24,781,400	24,342,600	23317	29,372,500	28135	26,993,900	25856	13,356,100	-46.1%	16,497,820	-32.2%
일산점	스포츠(특정)NC	아웃도어	콜핑(KOLPING)	정상	12.1	7,011,000	12,536,000	34534	10,855,000	29904	8,399,000	23138	6,212,000	-11.4%	15,057,000	20.1%
일산점	스포츠(특정)NC	스포츠	뉴발란스	정상	65.0			0		0		0	111,707,620	-	115,540,890	-
일산점	스포츠(특정)NC	아웃도어	컬럼비아	정상	21.4	15,289,920	18,229,370	28395	24,446,800	38079	16,606,920	25867	22,175,100	45.0%	15,257,900	-16.3%
일산점	스포츠(특정)NC	스포츠	크록스(CROCS)	정상	14.9	27,138,000	41,432,500	92608	65,803,800	147082	62,759,800	140278	46,802,000	72.5%	62,332,600	50.4%
일산점	스포츠(특정)NC	골프	디즈니골프	정상	16.6		14,160,500	28435	0	0		0		-		-100.0%
일산점	스포츠(특정)NC	골프	제이디엑스(JDX)	정상	10.7	30,275,540	4,086,300	12730	0	0		0		-100.0%		-100.0%
일산점	스포츠(특정)NC	골프	팬텀	정상	8.9	21,021,000	22,163,500	83009	0	0		0		-100.0%		-100.0%
일산점	스포츠(특정)NC	골프	루이까스텔	상설	16.0	95,582,500	54,830,800	114231	0	0		0		-100.0%		-100.0%
일산점	스포츠(특정)NC	스포츠	레노마수영복	정상	6.8	18,282,800	13,214,000	64775	10,777,400	52830	17,561,700	86087	14,404,800	-21.2%	13,253,700	0.3%
일산점	스포츠(특정)NC	스포츠	휠라(FILA)	상설	36.2	15,868,200	21,869,000	20137	16,213,800	14930	9,248,400	8516	25,690,400	61.9%	33,829,000	54.7%
일산점	스포츠(특정)NC	스포츠	스케쳐스	복합	30.0	72,580,550	69,033,450	76704	91,393,150	101548	56,205,900	62451	61,412,800	-15.4%	67,129,000	-2.8%
일산점	스포츠(특정)NC	애슬레져	제인코트&티막	정상	10.0	28,271,900	26,876,500	89588	29,100,200	97001	31,514,900	105050	24,138,500	-14.6%	34,577,500	28.7%
일산점	스포츠(특정)NC	아웃도어	밀레(MILLET)	정상	20.1	16,775,210	10,926,900	18121	25,113,760	41648	28,744,110	47669	23,135,110	37.9%	25,862,600	136.7%
일산점	스포츠(특정)NC	아웃도어	아이더(EIDER)	정상	15.2	49,323,600	48,552,800	106475	52,718,400	115611	31,156,500	68326	28,864,200	-41.5%	29,465,800	-39.3%
일산점	스포츠(특정)NC	아웃도어	네파	정상	15.2	48,715,640	40,822,880	89524	41,147,460	90236	53,434,690	117181	52,320,540	7.4%	60,991,440	49.4%
일산점	스포츠(특정)NC	아웃도어	디스커버리	상설	17.2	63,238,600	118,828,000	230287	86,681,700	167988	54,501,000	105622	105,956,108	67.5%	82,210,900	-30.8%
야탑점	캐쥬얼(특정매입)	진	리바이스	상설	13.6	34,974,700	26,722,380	65496	31,011,880	76010	23,121,540	56670	31,565,150	-9.7%	37,076,400	38.7%
야탑점	캐쥬얼(특정매입)	이지	후아유	정상	11.9	52,051,770	41,146,260	115256	40,238,440	112713	26,929,440	75433	49,476,590	-4.9%	43,172,160	4.9%
야탑점	캐쥬얼(특정매입)	이지	폴햄	정상	12.5	68,230,300	65,384,900	174360	90,597,850	241594	77,303,850	206144	76,410,450	12.0%	54,963,300	-15.9%
야탑점	캐쥬얼(특정매입)	이지	지오다노	정상	11.9	58,428,190	58,465,420	163769	63,524,780	177941	50,477,780	141394	89,813,500	53.7%	82,394,390	40.9%
야탑점	캐쥬얼(특정매입)	이지	마인드브릿지	정상	20.7	47,151,250	45,254,400	72873	50,868,030	81913	41,223,930	66383	41,829,710	-11.3%	46,312,600	2.3%
야탑점	캐쥬얼(특정매입)	이지	프로젝트M	정상	11.8	45,493,100	42,876,850	121244	52,906,800	149606	41,376,050	117000	55,576,050	22.2%	60,747,809	41.7%
야탑점	캐쥬얼(특정매입)	스트릿	멤버헐리데이	정상	8.7	25,569,970	27,120,940	103912	29,606,900	113436	17,812,260	68246	28,596,060	11.8%	37,487,260	38.2%
야탑점	캐쥬얼(특정매입)	스트릿	JEEP	상설	13.4	39,640,300	41,409,000	102813	35,673,700	88573	27,188,300	67505	30,505,650	-23.0%	37,317,450	-9.9%
야탑점	캐쥬얼(특정매입)	스트릿	NBA	상설	15.7	37,222,890	45,021,620	95587	52,776,060	112051	40,411,890	85800	47,968,740	28.9%	38,878,080	-13.6%
야탑점	캐쥬얼(특정매입)	스트릿	더블에이트	정상	7.1	38,923,400	35,342,900	165929	42,236,700	198294	31,940,020	149953	33,934,300	-12.8%	33,284,100	-5.8%
야탑점	캐쥬얼(특정매입)	진	게스(GUESS)(진)	상설	13.6	75,855,900	74,973,000	183757	72,430,800	177526	53,112,200	130177	68,439,400	-9.8%	152,847,200	103.9%
야탑점	캐쥬얼(특정매입)	진	버커루	복합	13.6	30,196,570	26,328,340	64530	33,582,510	82310	28,161,500	69023	47,195,750	56.3%	35,463,270	34.7%
야탑점	캐쥬얼(특정매입)	스트릿	그루브라임플레이	정상	27.1	22,831,400	27,036,500	33312	29,777,660	36689	19,746,800	24330	8,843,600	-61.3%		-100.0%
야탑점	캐쥬얼(특정매입)	이지	위라이크	정상	7.7	87,256,800	68,630,400	297101	79,038,700	342159	61,719,700	267185	70,824,360	-18.8%	70,055,480	2.1%
야탑점	캐쥬얼(특정매입)	스트릿	알래스카	정상	11.3	37,015,440	37,029,700	109255	38,494,450	113577	38,540,850	113713	44,179,550	19.4%	49,197,600	32.9%
야탑점	잡화(특정매입)	제화	무크(MOOK)	정상	10.1	38,832,975	43,379,325	143166	31,806,960	104973	35,147,120	115997	44,783,120	15.3%	50,323,245	16.0%
야탑점	잡화(특정매입)	제화	미소페(MISOPE)	정상	12.5	45,301,020	46,725,000	124600	70,018,000	186715	60,747,000	161992	51,623,880	14.0%	66,473,400	42.3%
야탑점	잡화(특정매입)	제화	에스콰이아(ESQUIRE)	#N/A	#N/A			-		-		-		-		-
야탑점	잡화(특정매입)	제화	엘칸토(ELCANTO )	정상	11.8	95,170,600	78,355,400	221343	85,706,200	242108	67,832,800	191618	81,853,100	-14.0%	78,414,500	0.1%
야탑점	잡화(특정매입)	핸드백/피혁	키플링(KIPLING)	복합	8.0	31,556,100	45,009,500	187540	30,821,400	128423	35,135,000	146396	32,673,600	3.5%	46,443,800	3.2%
야탑점	잡화(특정매입)	제화	허쉬파피(HUSHPUPPIES)	정상	10.4	56,860,108	47,660,300	152757	46,369,710	148621	59,142,830	189560	40,424,400	-28.9%	77,795,400	63.2%
야탑점	잡화(특정매입)	핸드백/피혁	닥스(핸드백)	복합	18.3	49,282,400	45,826,200	83472	48,005,360	87441	47,552,700	86617	54,496,920	10.6%	45,564,020	-0.6%
