지점	카테고리	조닝	브랜드	매장유형	평수	25년 3월 매출	25년 4월 매출	평매출	25년 5월 매출	평매출	25년 6월 매출	평매출	26년 3월 매출	3월 성장률	26년 4월 매출	4월 성장률
중계점	영캐쥬얼(특정)2001	캐릭터	씨씨콜렉트	상설	19.4	27,026,560	28,812,970	49507	26,502,280	45537	23,569,330	40497	36,094,201	33.6%	35,189,609	22.1%
중계점	영캐쥬얼(특정)2001	캐릭터	주크	상설	19.1	36,022,500	25,020,400	43666	24,051,700	41975	27,008,630	47135	21,543,700	-40.2%	29,662,900	18.6%
중계점	영캐쥬얼(특정)2001	베이직	플라스틱아일랜드	#N/A	12.3	20,162,780	16,633,620	45063	17,174,280	46528	12,620,540	34191		-100.0%		-100.0%
중계점	영캐쥬얼(특정)2001	캐릭터	듀엘	상설	19.1	30,693,177	23,575,930	41145	21,840,432	38116	19,053,550	33252	38,716,050	26.1%	24,702,380	4.8%
중계점	영캐쥬얼(특정)2001	캐릭터	JJ지고트	정상	11.8	55,381,560	25,857,600	72867	36,542,470	102977	34,231,280	96464	30,197,480	-45.5%	30,020,990	16.1%
중계점	남성의류(특정매입)	신사캐쥬얼	인디안(INDIAN)	복합	11.5	27,117,760	42,602,220	123485	43,598,970	126374	25,023,200	72531	43,394,860	60.0%	44,002,100	3.3%
중계점	남성의류(특정매입)	신사캐쥬얼	크로커다일(CROCODILE)	복합	9.7	20,940,200	21,858,400	75115	30,616,400	105211	18,346,000	63045	20,548,400	-1.9%	16,432,200	-24.8%
중계점	남성의류(특정매입)	신사정장	파크랜드(PARKLAND)	복합	8.8	13,687,500	21,655,300	82028	20,006,500	75782	12,173,800	46113	18,399,500	34.4%	17,657,700	-18.5%
중계점	남성의류(특정매입)	신사캐쥬얼	파렌하이트	#N/A	7.9	29,675,800	23,953,300	101069	23,641,000	99751	19,714,199	83182	26,040,200	-12.3%	24,772,800	3.4%
중계점	남성의류(특정매입)	신사정장	트루젠(TRUGEN)	#N/A	7.6	9,316,600		0		0		0		-100.0%		-
중계점	남성의류(특정매입)	신사정장	로가디스	정상	12.1	29,397,920	35,931,740	98986	40,952,440	112817	29,516,970	81314	19,466,640	-33.8%	56,948,200	58.5%
중계점	남성의류(특정매입)	신사정장	브렌우드	정상	9.1	58,717,142	56,291,184	206195	57,982,063	212389	41,290,709	151248	57,443,240	-2.2%	64,110,460	13.9%
중계점	남성의류(특정매입)	신사정장	레노마옴므	복합	10.3	47,016,800	41,041,600	132821	43,024,400	139238	30,279,600	97992	40,761,600	-13.3%	35,621,400	-13.2%
중계점	남성의류(특정매입)	신사TD	올젠	정상	11.5	25,693,010	36,105,230	104653	40,468,930	117301	46,958,090	136110	54,130,260	110.7%	64,598,600	78.9%
중계점	남성의류(특정매입)	신사캐쥬얼	지오지아	정상	16.0	50,116,620	36,224,990	75469	38,133,880	79446	38,373,270	79944	38,349,590	-23.5%	34,296,344	-5.3%
중계점	남성의류(특정매입)	신사캐쥬얼	킨록2	복합	7.9			0	14,112,960	59726	10,148,900	42950	272,000	-		-
