지점	카테고리	조닝	브랜드	매장유형	평수	25년 1월 매출	25년 2월 매출	25년 3월 매출	25년 4월 매출	평매출	25년 5월 매출	평매출	25년 6월 매출	평매출	25년 7월 매출	25년 8월 매출	25년 9월 매출	25년 10월 매출	25년 11월 매출	25년 12월 매출	26년 1월 매출	26년 2월 매출	26년 3월 매출	3월 성장률	26년 4월 매출	4월 성장률	26년 5월 매출
중계점	잡화(특정매입)	핸드백/피혁	아메리칸투어리스트	정상	5.1	55,901,090	37,986,740	29,921,550	46,360,420	303,009	41,635,550	272,128	47,334,770	309,378	68,254,360	60,181,460	84,722,100	55,348,500	49,602,690	48,216,080	42,189,810	34,543,080	38,226,800	27.76%	44,431,800	-4.16%	42,870,500
중계점	잡화(특정매입)	제화	소다	데이터 부재	11.9	22,896,900	15,239,300	24,390,000	18,864,900	53,046	23,129,200	65,037	23,453,800	65,950	21,083,800	15,842,200	11,801,200	19,376,200	6,837,400					-100.00%		-100.00%	
중계점	잡화(특정매입)	제화	미셸BY탠디	정상	10.4	39,182,000	26,426,000	42,779,000	50,381,000	161,682	42,554,000	136,564	45,640,000	146,468	43,133,000	36,771,000	44,975,000	56,500,000	54,089,400	54,428,800	39,073,400	41,717,800	52,869,800	23.59%	50,379,400	0.00%	71,947,600
중계점	잡화(특정매입)	제화	제옥스(제화)	데이터 부재	#N/A					-	13,715,000	-		-	0									-		-	
중계점	잡화(특정매입)	제화	금강아울렛	데이터 부재	14.9	32,827,220	31,786,560	39,879,780	33,205,300	74,073	32,816,220	73,205	34,509,510	76,983	28,829,860	25,974,510	25,860,560	43,873,420	24,083,740		-89,000			-100.00%		-100.00%	
중계점	영캐쥬얼(특정)2001	베이직	에이비에프지(ABFZ)	데이터 부재	10.8					0		0		0		1,122,000	26,823,100	40,739,700	35,359,500	17,280,120	7,556,400	9,548,900		-		-	
중계점	영캐쥬얼(특정)2001	캐릭터	올리브데올리브(OLIVE DES OL	데이터 부재	9.8	20,046,120	17,189,220	25,584,120	20,615,680	70,315	23,182,800	79,071	15,285,560	52,135	23,252,240	16,865,520	22,496,980	35,093,280	27,975,900	26,413,440	18,915,220	12,796,600		-100.00%		-100.00%	
중계점	영캐쥬얼(특정)2001	베이직	클라비스(CLOVIS)	정상	15.0	23,322,390	29,545,160	50,901,090	49,104,880	109,122	50,898,000	113,107	41,626,650	92,504	35,421,590	30,072,640	35,828,830	57,443,050	58,451,730	38,525,580	34,761,640	37,437,230	62,509,350	22.81%	56,734,260	15.54%	51,111,360
중계점	영캐쥬얼(특정)2001	스트릿	보브(VOV)	상설	19.1	14,557,620	16,610,334	73,849,942	22,802,114	39,794	24,537,840	42,823	57,615,810	100,551	19,610,900	19,564,890	18,261,250	34,002,690	43,282,090	67,071,200	18,640,400	19,047,550	45,436,060	-38.48%	29,209,800	28.10%	20,222,100
중계점	영캐쥬얼(특정)2001	베이직	리스트	정상	10.1	62,010,800	50,866,100	60,024,200	62,000,900	204,623	51,536,600	170,088	40,139,200	132,473	33,690,000	32,683,000	30,367,400	50,918,400	70,006,400	70,025,100	57,591,000	46,793,600	45,759,800	-23.76%	50,017,800	-19.33%	46,334,400
중계점	영캐쥬얼(특정)2001	캐릭터	나이스클랍	상설	12.7	26,944,300	20,485,160	46,011,910	51,542,060	135,281	41,128,040	107,948	28,086,000	73,717	18,828,200	20,069,780	30,879,100	40,733,540	50,084,000	42,314,780	30,346,420	33,525,540	41,729,300	-9.31%	32,613,480	-36.72%	29,640,820
중계점	영캐쥬얼(특정)2001	스트릿	베네통(영캐주얼)	상설	19.1	40,002,800	41,252,640	72,049,260	60,800,050	106,108	61,476,750	107,289	43,101,400	75,221	46,052,500	35,153,500	46,285,400	64,138,000	63,871,900	50,194,400	43,217,800	50,062,900	71,013,300	-1.44%	60,105,700	-1.14%	50,131,280
중계점	영캐쥬얼(특정)2001	베이직	비지트인뉴욕	정상	10.4	32,464,220	34,966,970	44,919,140	39,810,710	127,598	55,776,890	178,772	31,482,520	100,906	28,841,980	24,644,800	25,375,560	32,564,240	55,509,430	52,018,950	33,787,600	34,327,200	38,404,700	-14.50%	26,358,630	-33.79%	29,515,300
중계점	영캐쥬얼(특정)2001	캐릭터	숲(SOUP)	정상	11.0	40,122,560	47,541,810	53,819,380	46,119,370	139,756	56,951,310	172,580	47,387,220	143,598	45,662,070	34,949,030	36,604,530	46,058,810	63,098,190	49,705,150	44,657,050	52,941,550	57,664,220	7.14%	48,058,500	4.20%	57,883,730
중계점	영캐쥬얼(특정)2001	스트릿	시슬리(영캐주얼)	상설	13.4	29,035,040	26,168,760	24,797,720	20,555,900	51,134	21,630,380	53,807	16,251,560	40,427	25,056,240	23,059,520	33,022,900	40,209,120	40,712,040	18,942,400	22,094,300	38,303,100	43,017,940	73.48%	23,961,840	16.57%	27,302,440
중계점	영캐쥬얼(특정)2001	캐릭터	씨씨콜렉트	상설	19.4	25,573,200	24,055,120	27,026,560	28,812,970	49,507	26,502,280	45,537	23,569,330	40,497	23,243,180	21,849,160	20,431,720	26,669,700	37,114,650	26,661,500	24,948,360	27,366,550	36,094,201	33.55%	35,189,609	22.13%	23,458,450
중계점	영캐쥬얼(특정)2001	캐릭터	주크	상설	19.1	30,381,932	21,163,100	36,022,500	25,020,400	43,666	24,051,700	41,975	27,008,630	47,135	14,068,920	14,003,300	13,151,900	24,585,660	28,008,900	26,241,600	21,977,000	26,306,210	21,543,700	-40.19%	29,662,900	18.55%	21,289,800
중계점	영캐쥬얼(특정)2001	베이직	플라스틱아일랜드	데이터 부재	12.3	14,662,480	10,348,820	20,162,780	16,633,620	45,063	17,174,280	46,528	12,620,540	34,191	4,225,530									-100.00%		-100.00%	
중계점	영캐쥬얼(특정)2001	캐릭터	듀엘	상설	19.1	19,122,891	29,965,250	30,693,177	23,575,930	41,145	21,840,432	38,116	19,053,550	33,252	20,965,373	17,374,098	13,597,470	33,104,690	41,320,250	28,851,650	30,741,200	39,277,440	38,716,050	26.14%	24,702,380	4.78%	17,454,010
중계점	영캐쥬얼(특정)2001	캐릭터	JJ지고트	정상	11.8	22,418,640	10,686,780	55,381,560	25,857,600	72,867	36,542,470	102,977	34,231,280	96,464	16,089,580	20,970,120	36,093,400	36,290,945	38,455,310	28,241,360	34,025,740	29,548,220	30,197,480	-45.47%	30,020,990	16.10%	40,031,020
중계점	남성의류(특정매입)	신사캐쥬얼	인디안(INDIAN)	복합	11.5	23,243,400	20,969,600	27,117,760	42,602,220	123,485	43,598,970	126,374	25,023,200	72,531	14,157,840	18,885,240	20,514,030	52,127,220	50,419,560	33,538,000	26,714,440	22,565,900	43,394,860	60.02%	44,002,100	3.29%	41,004,240
중계점	남성의류(특정매입)	신사캐쥬얼	크로커다일(CROCODILE)	복합	9.7	18,613,200	12,839,200	20,940,200	21,858,400	75,115	30,616,400	105,211	18,346,000	63,045	12,863,400	9,210,100	12,853,000	30,071,800	30,762,800	33,961,900	20,185,400	17,136,200	20,548,400	-1.87%	16,432,200	-24.82%	19,489,200
